prompt,target,ngram,seq2seq,gpt2,t5,BLEU_ngram,ROUGE_ngram,BLEU_seq2seq,ROUGE_seq2seq,BLEU_gpt2,ROUGE_gpt2,BLEU_t5,ROUGE_t5
"maybe, village Joke:",Maybe the village has snacks… if I travel there.,maybe village <s> -,Maybe the village knows I’m from somewhere.,Maybe this village hates me—I don’t trust the village.,Maybe the village is not just a village.,4.167251645138561,0.3333333333333333,17.20339087300932,0.47058823529411764,9.980099403873663,0.3,17.0653267718276,0.35294117647058826
"together, born Joke:",We were born together in chaos and have been friends since.,together born epic 'spring awakening ' reunion at tony awards,"Together we were born together. He asked, For what? I replied, To change the direction of destiny.","Together, born together, I’d want chaos.","Together, I haven't been born—my favorite thing is not my work of music.",4.085507150363302,0.09999999999999999,6.908895196867147,0.2857142857142857,8.125165710854512,0.33333333333333326,3.1251907639724417,0.15384615384615383
"thank, crime Joke:","I thank you for not committing a crime today. He said, That's low stakes. I replied, Exactly—I'm thanking you for the bare minimum while crime watches.",thank crime ' at the beach this summer,Thank crime for leaving the house in one fell swoop; my snacks won.,Thank crime—it's my motivation. I’m not ready for it.,Thank the crime for causing my stomach to smother me.,0.41002596960728915,0.16666666666666663,1.2790472364820509,0.1904761904761905,0.860324673240803,0.2926829268292683,0.860324673240803,0.15384615384615385
"wanted, march Joke:",They wanted March. It came. Then left. Temporal betrayal.,wanted march 31 start,I wanted March to stop… my schedule says otherwise.,I wanted March to be peaceful… and chaos and disappointment.,He wanted to march—and the march was over.,1.683602693167689,0.30769230769230765,6.8803707079889325,0.2222222222222222,6.9161417925511355,0.2105263157894737,3.6353588668522963,0.2222222222222222
Alison Leiby's Abortion Wasn't A Big Deal. So Why Is It Still So Hard To Talk About? Joke:,An abortion wasn't a big deal—but talking about it is.,"alison leiby 's abortion was n't a big deal. so why is it still so hard to talk about ? here are the most popular movies on netflix july 2022 : 'persuasion , ' report finds",Alison said abortion was a big deal. She said it was a big deal. We're still talking about it. She's right.,Alison's abortion was a big deal—and the media said 'why not?',"He said, Why is it still so hard to talk about? He said, Because they’re just making excuses.",2.725770058666702,0.3111111111111111,7.668702374725506,0.4,6.837203339116283,0.32,2.4426633221059637,0.12903225806451615
Mariupol Diaries: Scenes Of Despair And Resolve In The Besieged Ukrainian City Joke:,Mariupol's under siege. That's a city dying in real time.,mariupol diaries : scenes of despair and resolve in the besieged ukrainian city council,Mariupol's diaries are full of despair and resolution—even the Ukrainians don't like us.,Mariupol was destroyed—that's what happened to Ukrainian culture.,Mariupol is the famous city in Ukraine—the first ever city in the world.,3.377156414337854,0.16,3.377156414337854,0.14285714285714288,3.4162113597999784,0.2727272727272727,3.737437943747671,0.23076923076923075
"come, southern Joke:",Come to the southern side—we have better food.,come southern share photo of car eyed in slayings of muslim men,Come to the southern lights—they don’t help at all.,Come to southern beaches—my soul wants to stop crying.,Come and walk south—my fingers are there.,3.3864985683445354,0.1904761904761905,27.77619034011791,0.39999999999999997,9.980099403873663,0.3157894736842105,5.795599612995366,0.11764705882352941
"hello, short Joke:","Hello—sorry this message is short, like my patience.",hello short to witness an execution,Hello? Short and serious: it's you’re a good cookie and you regretfully tried to call me. ​,"Hello, short form… thank you for being short, for asking.","Hello short day. I replied, No, It’s like it’s a very short term, but it’s a nightmare.",4.167251645138561,0.26666666666666666,1.9146030690102511,0.14814814814814814,6.837203339116283,0.2105263157894737,2.4426633221059637,0.20689655172413793
"tell, practice Joke:","I tell my friend to practice his jokes. He says, Why should I practice when I'm already so bad at telling them? I said, Because practice makes perfect! He replied, Well, that explains why I've perfected being terrible.",tell practice report,Tell me about practice… or are you just testing my mood?,Tell me to practice. It's my life. I need practice. It's my only option.,Tell me what practice is—he says he is a scepticism.,2.065579963223799e-05,0.09302325581395349,0.23686852910660675,0.07843137254901962,1.2400798540276006,0.17857142857142858,0.2047424736396885,0.196078431372549
"know, matches Joke:",I know the matches aren’t rigged—you’re just dramatically unlucky.,know matches trump and people 's irony meters exploded,"I know what matches you guys. I asked, What? He replied, The same ones who play finals.",You know I’m serious when I play the match. ​,"I know matches for them, but my friends don’t know it.",5.0735520042259505,0.1904761904761905,4.108053662461269,0.27586206896551724,5.300156689756295,0.2727272727272727,7.347053125977879,0.3333333333333333
"listen, division Joke:","Listen, division of desserts is optional.",listen division to tuesday for march 31 start,Listen—drama division isn’t real.’,"Listen, the division is small and boring… until you hear my voice.",Listen to division: Then you'll want to go from sleep to sleep.,5.522397783539471,0.28571428571428575,6.916271812933183,0.3333333333333333,7.141816289329644,0.3333333333333333,3.737437943747671,0.21052631578947367
"come, eastern Joke:",I asked my friend to come visit the Eastern side of town; he said he'll go west just to spite me.,"come eastern ukraine , biden administration urges global trade chief to resign amid civil unrest",Come see eastern lights—they're here. Disappointment confirms it. Geographic silence.,Come see Eastern—the sun's rising high and the clouds are streaming in.,Come and get to eastern. You’re in a hurry.,1.8333813469321008,0.16666666666666663,1.4313736142944766,0.11764705882352942,1.7021996863461522,0.1111111111111111,1.4971158614143294,0.12500000000000003
"second, hurt Joke:",Give me a second—my feelings need to hurt properly.,second hurt tweets from women this week,Second hurt; my motivation is stronger. I need a break.,"Second hurt—I cried silently. He asked, Why? I replied, Because I was emotional, not emotionally.","Second, hurt me. It’s pain. I said, It's like pain.",4.278179264606695,0.23529411764705882,4.368583925857938,0.3,1.8160849415439309,0.15384615384615385,3.4585921141027356,0.1818181818181818
"good, california Joke:",It’s good to visit California—until the traffic breaks your spirit.,"good california can set tough vehicle emissions rules again , compares them to 'hiring a hit man ' trailer dives deeper into",A good California summer vacation is like running the gauntlet in your sleep while wondering why your WiFi is failing your alarm clock. ​,I’m good at California—my life's just spinning around a volcano.,Good California—I just want to have a nap—but I'm still living like it.,2.0540268312306345,0.125,2.1300733682208985,0.22857142857142854,4.456882760699063,0.16,3.377156414337854,0.14285714285714288
"told, production Joke:",They told us production increases. It did. Quantity of failure increased too.,told production of 'into the woods ',He told the production crew it was all true… until everyone asked permission.,"I told him I was kidding—he said, Why? I replied, Because I want truth.",You told me the production will be slow—and I know a lot.,2.75631563063758,0.3333333333333333,3.479789360876994,0.24000000000000002,2.5540496664715904,0.07407407407407407,3.4857116957065437,0.16
"tell, division Joke:","Tell me about division. It's multiplication for failure. The more we divide, the bigger it gets.",tell division -,"Tell me about the division. I said, No, it is a tiny detail. He replied, It's your fault.","Tell me you're division. I told you to stop. He asked, Why? I replied, To do your job.",Tell me divisions: I've got to get to it. That's the first time I've done so. Then I'll walk around.,0.09518843576234585,0.21052631578947367,8.968622051963912,0.33333333333333337,5.118164602105636,0.16666666666666669,4.303846266589083,0.2926829268292683
"right, kelly Joke:","You’re right, Kelly—if coffee were a personality type, we’d both be espresso.",right kelly accusers testify about his abuse in chicago trial,"You’re right, Kathy doesn’t like chocolate, but that chocolate keeps getting hotter.","You’re right, Kelly—she’s a very professional reporter.",You’re right—kelly joking. You’re wrong—he’s wrong.,2.5450723423460606,0.16,11.114924776032012,0.20689655172413796,10.353028267053118,0.4,2.7376474102577792,0.30769230769230765
"name, grunts Joke:",Name grunts needed—mostly from cookie satisfaction.,"name grunts <s> eastern kentucky braces for more lethal aid , no-fly zone in call with u.s. congress","Name Grunts? Apparently they're annoying. He asked, About the grunts? I replied, They're embarrassing.",Name grunts—it’s my specialty.,Name a grunt in your mind—the ecstasy makes me feel like I'm just squirling.,1.958224832501124,0.15384615384615385,2.5197593442434796,0.17391304347826086,8.51528917838043,0.30769230769230765,3.1251907639724417,0.17391304347826086
LeVar Burton Says He Was 'Wrecked' About 'Jeopardy!' Controversy Joke:,LeVar was devastated—Jeopardy wasn't ready for him anyway.,levar burton says he was 'wrecked ' about 'jeopardy ! ' controversy -,Burton asked questions—he's serious now.,Burton said he wasn't really hurt—that's basically saying he's really good at it.,Burton said he's 'Wrecked' about jeopardy—he's not a fan of being silent.,3.0890553181566975,0.3157894736842105,4.923026124015933,0.0,3.377156414337854,0.14814814814814817,3.0890553181566975,0.08
"time, sweetie Joke:","Time to calm down, sweetie—you’re stressing me out.","time sweetie testify tuesday in georgia election probe , judge rules",Time to make a cookie. Sweetie's calling—classic sweetie.,Time… sweetie? We've both been trying to snack… mostly on my coffee.,Time is sweet and we're chatting to a person in a room.,3.7477767366779213,0.20000000000000004,9.287528999566801,0.3,3.377156414337854,0.17391304347826086,4.065425428798724,0.17391304347826086
"think, district Joke:","They think our district is quiet, but that’s only until the wedding drums start at midnight. ​",think district go on strike over kidnappings,"I think the district's fine. I asked, Why? He said, Because this is fine.","I think the district is the greatest district ever. He asked, Why? I replied, Because it's peaceful—unrealistic, like my life.",I think my district is a bad place... except the city.,1.4064939156282428,0.16666666666666666,3.0272532566104675,0.18750000000000003,3.802351022611669,0.20512820512820512,5.062000331031055,0.2857142857142857
