prompt,target,ngram,seq2seq,gpt2,t5
"maybe, village
Joke:",Maybe the village has snacks… if I travel there.,maybe village <s> -,Maybe the village knows I’m from somewhere.,Maybe this village hates me—I don’t trust the village.,Maybe the village is not just a village.
"together, born
Joke:",We were born together in chaos and have been friends since.,together born epic 'spring awakening ' reunion at tony awards,"Together we were born together. He asked, For what? I replied, To change the direction of destiny.","Together, born together, I’d want chaos.","Together, I haven't been born—my favorite thing is not my work of music."
"thank, crime
Joke:","I thank you for not committing a crime today. He said, That's low stakes. I replied, Exactly—I'm thanking you for the bare minimum while crime watches.",thank crime ' at the beach this summer,Thank crime for leaving the house in one fell swoop; my snacks won.,Thank crime—it's my motivation. I’m not ready for it.,Thank the crime for causing my stomach to smother me.
"wanted, march
Joke:",They wanted March. It came. Then left. Temporal betrayal.,wanted march 31 start,I wanted March to stop… my schedule says otherwise.,I wanted March to be peaceful… and chaos and disappointment.,He wanted to march—and the march was over.
"Alison Leiby's Abortion Wasn't A Big Deal. So Why Is It Still So Hard To Talk About?
Joke:",An abortion wasn't a big deal—but talking about it is.,"alison leiby 's abortion was n't a big deal. so why is it still so hard to talk about ? here are the most popular movies on netflix july 2022 : 'persuasion , ' report finds",Alison said abortion was a big deal. She said it was a big deal. We're still talking about it. She's right.,Alison's abortion was a big deal—and the media said 'why not?',"He said, Why is it still so hard to talk about? He said, Because they’re just making excuses."
"Mariupol Diaries: Scenes Of Despair And Resolve In The Besieged Ukrainian City
Joke:",Mariupol's under siege. That's a city dying in real time.,mariupol diaries : scenes of despair and resolve in the besieged ukrainian city council,Mariupol's diaries are full of despair and resolution—even the Ukrainians don't like us.,Mariupol was destroyed—that's what happened to Ukrainian culture.,Mariupol is the famous city in Ukraine—the first ever city in the world.
"come, southern
Joke:",Come to the southern side—we have better food.,come southern share photo of car eyed in slayings of muslim men,Come to the southern lights—they don’t help at all.,Come to southern beaches—my soul wants to stop crying.,Come and walk south—my fingers are there.
"hello, short
Joke:","Hello—sorry this message is short, like my patience.",hello short to witness an execution,Hello? Short and serious: it's you’re a good cookie and you regretfully tried to call me. ​,"Hello, short form… thank you for being short, for asking.","Hello short day. I replied, No, It’s like it’s a very short term, but it’s a nightmare."
"tell, practice
Joke:","I tell my friend to practice his jokes. He says, Why should I practice when I'm already so bad at telling them? I said, Because practice makes perfect! He replied, Well, that explains why I've perfected being terrible.",tell practice report,Tell me about practice… or are you just testing my mood?,Tell me to practice. It's my life. I need practice. It's my only option.,Tell me what practice is—he says he is a scepticism.
"know, matches
Joke:",I know the matches aren’t rigged—you’re just dramatically unlucky.,know matches trump and people 's irony meters exploded,"I know what matches you guys. I asked, What? He replied, The same ones who play finals.",You know I’m serious when I play the match. ​,"I know matches for them, but my friends don’t know it."
"listen, division
Joke:","Listen, division of desserts is optional.",listen division to tuesday for march 31 start,Listen—drama division isn’t real.’,"Listen, the division is small and boring… until you hear my voice.",Listen to division: Then you'll want to go from sleep to sleep.
"come, eastern
Joke:",I asked my friend to come visit the Eastern side of town; he said he'll go west just to spite me.,"come eastern ukraine , biden administration urges global trade chief to resign amid civil unrest",Come see eastern lights—they're here. Disappointment confirms it. Geographic silence.,Come see Eastern—the sun's rising high and the clouds are streaming in.,Come and get to eastern. You’re in a hurry.
"second, hurt
Joke:",Give me a second—my feelings need to hurt properly.,second hurt tweets from women this week,Second hurt; my motivation is stronger. I need a break.,"Second hurt—I cried silently. He asked, Why? I replied, Because I was emotional, not emotionally.","Second, hurt me. It’s pain. I said, It's like pain."
"good, california
Joke:",It’s good to visit California—until the traffic breaks your spirit.,"good california can set tough vehicle emissions rules again , compares them to 'hiring a hit man ' trailer dives deeper into",A good California summer vacation is like running the gauntlet in your sleep while wondering why your WiFi is failing your alarm clock. ​,I’m good at California—my life's just spinning around a volcano.,Good California—I just want to have a nap—but I'm still living like it.
"told, production
Joke:",They told us production increases. It did. Quantity of failure increased too.,told production of 'into the woods ',He told the production crew it was all true… until everyone asked permission.,"I told him I was kidding—he said, Why? I replied, Because I want truth.",You told me the production will be slow—and I know a lot.
"tell, division
Joke:","Tell me about division. It's multiplication for failure. The more we divide, the bigger it gets.",tell division -,"Tell me about the division. I said, No, it is a tiny detail. He replied, It's your fault.","Tell me you're division. I told you to stop. He asked, Why? I replied, To do your job.",Tell me divisions: I've got to get to it. That's the first time I've done so. Then I'll walk around.
"right, kelly
Joke:","You’re right, Kelly—if coffee were a personality type, we’d both be espresso.",right kelly accusers testify about his abuse in chicago trial,"You’re right, Kathy doesn’t like chocolate, but that chocolate keeps getting hotter.","You’re right, Kelly—she’s a very professional reporter.",You’re right—kelly joking. You’re wrong—he’s wrong.
"name, grunts
Joke:",Name grunts needed—mostly from cookie satisfaction.,"name grunts <s> eastern kentucky braces for more lethal aid , no-fly zone in call with u.s. congress","Name Grunts? Apparently they're annoying. He asked, About the grunts? I replied, They're embarrassing.",Name grunts—it’s my specialty.,Name a grunt in your mind—the ecstasy makes me feel like I'm just squirling.
"LeVar Burton Says He Was 'Wrecked' About 'Jeopardy!' Controversy
Joke:",LeVar was devastated—Jeopardy wasn't ready for him anyway.,levar burton says he was 'wrecked ' about 'jeopardy ! ' controversy -,Burton asked questions—he's serious now.,Burton said he wasn't really hurt—that's basically saying he's really good at it.,Burton said he's 'Wrecked' about jeopardy—he's not a fan of being silent.
"time, sweetie
Joke:","Time to calm down, sweetie—you’re stressing me out.","time sweetie testify tuesday in georgia election probe , judge rules",Time to make a cookie. Sweetie's calling—classic sweetie.,Time… sweetie? We've both been trying to snack… mostly on my coffee.,Time is sweet and we're chatting to a person in a room.
"think, district
Joke:","They think our district is quiet, but that’s only until the wedding drums start at midnight. ​",think district go on strike over kidnappings,"I think the district's fine. I asked, Why? He said, Because this is fine.","I think the district is the greatest district ever. He asked, Why? I replied, Because it's peaceful—unrealistic, like my life.",I think my district is a bad place... except the city.
"look, species
Joke:","Look, every species has THAT one cousin who ruins the family photo.",look species hits comeback milestone,"Look at all the species! I said, Of which I've known nothing of them. He asked, Of what species? I replied, That nobody likes their own snack.",Look at this species of snack—they look like they live on a small island.,Look at the species... but the sky is receptive to the scenery.
"think, lieutenant
Joke:",What do you think of the lieutenant? I think he's left with tenants—which is unfortunate.,"think lieutenant patriot front extremists aiming to 'riot ' at research center kills about 21,000 fish",I think lieutenant is good… until the detective starts swearing.,I think lieutenant duty is the most peaceful assignment I've ever had—my life would be better served if I stayed.,"Think lieutenant—he’s a dog, a tee, a tee, a tee and a hat."
"mean, russian
Joke:",What do you mean Russian? Cold. Vast. Incomprehensible. Very accurate metaphor.,"mean russian troops killed , sickened by poisoned food from ukraine residents , say officials","I didn’t mean to, but my sarcasm is now Russian style.",He said it meant Russian food—my sarcasm confirmed it.,"I mean russian, so that I can’t say goodbye."
"world, alright
Joke:","The world's alright. I said, No it's not. He replied, Exactly—so why are we talking about it?",world alright pence of treason in bonkers rant,The world's alright—I’m not ready to move.,This world is alright—my excuses are piling up.,My world’s alright—and my brain’s not at all.
"around, football
Joke:","What's this around football? I asked, What do you mean? He replied, Why is there a sport around this.",around football analyst when he left office,Around football—every move matters. ​,"Around football, chaos is fun… except when it's really just chaos.",I just go around football—especially football.
"thanks, dear
Joke:","Thanks, dear, for nothing. He asked, What did I do? I replied, Exactly.",thanks dear <s> -,"Thanks dear—I said thank you before arriving at the coffee shop. He asked, What? I replied, Why not.","Thanks, dear, for opening my fridge.","Thanks dear for visiting. He asked, Who are you? He replied, I forgot to do the rest."
"going, site
Joke:",I’m going to the site… to witness chaos in person.,going site,Where are you going? Site of confusion. Nowhere to find it. Error: wrong location.,I’m going to the site—my motivation is purely to get there.,Going to the site—that’s not just my first attempt.
"said, australia
Joke:",He said Australia is far—my excuses are farther.,said australia,"He said Australia is cool, but my soul says 'no' every time I visit.",He said I’d like Australia—then I went home and regretted it.,"He said australia was like a jungle, but they're snoring at it."
"years, colspan
Joke:","Years in a colspan? I said, That's a table thing. He replied, So is my life.",years colspan our lives,"Years pass by and the colspan grows. He asked, Where? I replied, The cookie jar and the fridge.","Years ago, I’d nap, but my stomach said ‘I’m not ready.",Years in colspan—mostly my brain will never talk about my own experience.
"know, britain
Joke:","I know Britain loves tea, but calm down—it’s just leaves in water.",know britain remains from d.c. clinic,I know British food. They’re always asking for directions.,I know British things. They just think I’m in Quebec.,I know British food is good—they are always quiet but the whole process works perfectly.
"Fire Training, Equipment Lacking At U.S. Nuclear Dump: Report
Joke:",A nuclear dump's missing fire training and equipment—nothing says 'we have it under control' like being unprepared at a nuclear facility.,"fire training , equipment lacking at u.s. nuclear dump : report","Training's offline, equipment lost. That's incompetence at its worst.",The U.S. nuclear infrastructure's failing—and we're the ones who lost it.,It’s a fire training system that has a nuclear dump—the only thing I can’t do is go to a nuclear dissonance station.
"know, fitch
Joke:",I know Fitch—he’s the guy stealing my pens silently.,know fitch -,"I know how to sell snacks. He asked, Why? I replied, Because I like losing.",I know how to be fitch… for crying out loud.,I know Fitch has made me laugh... but I don’t know it.
"said, produced
Joke:","They said they produced a ""short report,"" which turned out longer than the original problem. ​",said produced -,"He said it was produced, then became a joke.","He said he produced it, but produced it slowly. That's production of regret.",It said that the product produced itself—that's what's already being produced.
"listen, south
Joke:","Listen, south winds carry snacks and chaos.",listen south carolina mall shooting that wounded 14 people,"Listen, South is nice—my heart rate disagrees.",Listen south—my car is running on time.,Listen to the south. My head wants to move forward. Then there's the South.
"hello, county
Joke:","Hello, county fair—I came for the food, stayed for confusion.",hello county during traffic stop,"Hello county—my GPS is confused. I asked, Who? He replied, The county commissioner.","Hello? Where are you from? He asked. I replied, From the county.","Hello county, the snow doesn't keep coming out until the water turns back."
"please, marriage
Joke:","Please remember, marriage is not a bug fix for your personality. ​",please marriage ruling,Please marry me—my life is overrated.,Please don’t marry me—my sanity disagrees.,Please let your marriage go—that's the problem.
"Biden's Ex Daughter-In-Law Opens Up About Marriage To Hunter
Joke:",Hunter's ex opened up—that marriage had more red flags than a parade.,biden 's ex daughter-in-law opens up about marriage to hunter record $ 4.65 billion,An ex had a baby—but didn't want to make a career of breaking up.,Biden's ex married to Hunter—that's the most honest thing about it.,Biden's ex-law went on a romance—that's a bad one—because he's still married.
"stuff, thank
Joke:",Thanks for the stuff… I’ll pretend I know what it’s for.,stuff thank her sexual harasser,"Things… thank you. For what? Nothing. Gravity. Compassionlessness. The only answer is ""you regret everything.""",Stuff is funny—thank goodness for not making my problems worse.,Something to thank for... I just want to get a lot of work done to avoid this.
"FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs
Joke:",A cop selling ghost guns—the irony of the irony.,"fbi arrests baltimore police officer for allegedly selling ghost gun , drugs : paul haggis detained in italy in sex assault case","Baltimore cops arrested a Ghost Gun guy—that's not good police, that's bad law enforcement.",Baltimore police arrested an officer for selling a ghost gun—that's basically a cover-up.,A Baltimore police officer accused of selling drug possession—but nothing was done for a woman's job.
"look, lake
Joke:","Look at that lake—calm, peaceful… unlike my life.",look lake walked away from a career in journalism. now she 's running for governor by bashing the media .,You look like you need water and a break.,Look at the lake. It's like being a fish in a lake. Depth. Very deep. Very life-like.,Look at the lake—and it’s not just water.
"know, turbo
Joke:",I know Turbo… he zooms past my plate.,know turbo <s> -,You know the turbo doesn’t start until it’s just three quarters of the way up your lungs. ​,I know Turbo is turbocharging me… mostly from the snacks.,"I know the turbo is a bit slow, but my brain has a long history."
"stay, known
Joke:",Stay known for your snack generosity.,stay known in their pool,Stay known—my confidence knows no limits.,Stay known—my phone dies.,Stay known—that's not the way people's habits live.
"Defenders Inside Mariupol Steel Plant Refuse To Surrender To Russian Forces
Joke:","Ukrainian soldiers won't surrender in Mariupol—that's brave, that's noble, and that also sounds like the plot of a war movie that doesn't end well.","defenders inside mariupol steel plant refuse to surrender to russian forces target airports in western ukraine , biden faces 'headwinds ' on climate change",Steel workers rejected Mariupol—that's the irony no one asked for.,A Ukrainian plant refused to surrender—that's surrender you negotiate for.,"Unlike Russia, the Steel Plant got damaged and the buildings were left to threaten."
"hello, american
Joke:","Hello, American friend—yes, I also enjoy oversized everything.",hello american girl doll-core,Hello American… my snacks are American.,"Hello American, I'm not Indian—American people love Indian food.","Hello American. I asked, What? I replied, Why? He replied, Why? I replied, I’m talking."
"Texas Sues Biden Administration For Right To Deny Life-Saving Abortions
Joke:",Texas is suing for the right to let women die—that's the health care they want.,texas sues biden administration for right to deny life-saving abortions : trudeau,The Texas suing Biden over abortions—that's political desperation with nothing to lose.,Biden sued the administration for denying abortions. That's fair.,Biden voted for abortion—that's a state.
"guess, stop
Joke:",I guess stop signs are suggestions anyway.,guess stop challenge to her rumored breakup with zach braff,"Guess what? Stop talking. I said, Stop wasting me. He replied, What? Stop asking me to stop.",I guess it’s a guess—because the clock is running too late.,"I guess stop to stop, I am sure."
