word,frequency
either,963
you,148302
re,22465
flat,217
or,10283
i,144062
am,4328
beg,149
your,22485
pardon,188
excuse,1234
me,32893
always,2520
the,229670
lady,938
say,5976
what,35818
why,8029
frighten,23
hiccup,7
away,3002
marthy,33
yes,7495
did,15162
and,102519
m,25335
going,7844
to,119039
hit,1200
see,9411
here,16167
if,13581
soak,13
in,84738
eye,580
again,3558
gon,7727
na,9629
quit,264
get,15814
no,24781
only,6043
on,39446
back,8383
this,33204
time,9984
well,14356
think,10349
lose,587
them,7928
oh,14637
got,13715
it,77101
ten,837
swallows,7
of,103575
without,1771
breathing,190
sure,4011
cure,128
one,15404
two,7025
three,3496
four,2062
five,1793
maybe,3347
too,5010
told,2781
s,88455
a,112329
never,5372
fails,38
we,35033
go,13314
johnny,475
harp,58
for,39690
some,7740
more,6563
whiskey,64
yeah,12140
right,15101
are,25199
bone,141
dry,212
wait,2855
ll,14072
my,24358
bonnet,14
together,1927
once,1693
hold,1498
that,62402
will,9324
not,24893
sorry,4454
took,2014
darn,43
glad,592
found,2456
norfolk,50
aye,180
been,9406
old,3349
walking,310
streets,187
but,20356
had,10742
better,3089
stay,1953
with,31055
chris,325
barge,34
honest,322
be,25326
dump,94
is,53078
good,9784
punk,141
come,10724
where,8294
boat,419
huh,2108
forgot,311
front,1033
door,1510
was,44147
all,21898
hand,1206
declare,64
how,11115
can,14897
do,43574
thing,4067
like,16092
minute,1287
now,12815
nothing,3017
look,7297
out,15738
being,3121
tightrope,2
walker,199
there,17725
down,5982
drink,971
hon,174
horses,200
fool,265
thought,3286
d,8839
lost,1418
just,19044
an,13618
doors,169
stopped,360
funny,782
entrance,109
listen,1847
let,8362
ladies,552
g,732
said,4722
she,17229
dignity,48
world,3360
have,27286
larry,176
drinks,148
house,3006
yourself,1533
money,2573
plenty,242
speak,727
devil,226
talking,1849
about,14694
hello,2042
put,3267
give,4278
us,7210
half,1213
snootful,1
little,5432
drunk,316
much,4125
feel,2384
josephine,21
board,609
ship,784
long,3321
moon,313
shines,20
looks,1257
same,2491
eh,351
n,49807
t,50525
know,21514
song,1202
when,9842
hear,2051
italian,415
fellow,342
other,5242
he,38724
learn,474
skoal,7
hearty,10
order,1171
ve,10617
ta,1831
make,5371
slow,315
voyage,74
dirty,282
weather,191
fog,83
forget,905
matter,1327
keep,2690
standing,362
night,3295
talk,2968
take,6829
scoop,38
lager,11
ale,29
chaser,13
bring,1259
by,17545
way,5955
letter,442
from,16881
st,1365
paul,680
minnesota,107
writing,433
then,7572
must,3004
daughter,973
anna,286
living,1018
year,2994
fine,2190
fairy,94
tale,85
bet,573
golly,16
read,785
sit,1030
backroom,3
stiff,43
sweetheart,217
news,962
jiminy,19
coming,2069
sick,695
job,1724
saying,1250
short,752
tell,6292
than,4122
fella,125
since,2187
girl,2106
sweden,134
seen,1739
her,13703
years,4186
live,1913
farm,318
sea,594
father,2453
marry,330
sailor,53
herself,316
likely,246
blood,957
trying,1798
spill,38
suds,2
up,14955
ai,1118
mother,1963
soon,1172
suppose,488
hang,549
around,3146
nut,67
squarehead,3
wan,1811
rid,228
because,4900
kid,1156
kick,276
swede,3
man,7310
enough,2132
start,1607
ca,6422
finish,446
scream,97
honestly,170
knockout,40
laugh,293
at,21272
slant,7
mirror,189
gee,137
owens,23
onto,241
game,1759
born,2114
dragged,48
waterfront,15
trouble,812
packing,50
duds,6
quitting,22
guys,2487
boats,72
waiting,778
so,17782
cheer,69
before,4297
gets,926
riddance,6
both,2608
cut,1007
bull,137
square,392
fifty,131
nobody,903
owes,34
they,18882
sore,45
still,3844
friends,1398
blow,356
another,2603
health,529
help,3662
celebrate,143
home,3401
strong,558
pretty,1412
everything,2558
someday,89
steady,114
land,870
east,965
own,2419
kids,1083
grandfather,159
cricket,136
soused,1
ears,114
sober,54
does,5212
throw,427
beef,102
stew,27
corner,237
ginger,86
side,1288
stingy,4
baby,1920
shall,712
serve,274
pail,4
suits,85
ground,560
needed,549
bad,2142
bat,125
traveling,93
day,3937
train,520
coach,384
laughing,625
thinking,1100
something,5490
else,1763
would,10179
blame,243
guess,1525
rotten,88
hospital,890
weeks,747
thanks,2196
service,1050
please,3941
over,6380
dead,1934
stranger,104
burg,3
luck,624
smoke,228
wo,2153
someone,1929
anything,3327
wrong,1887
looking,1741
hard,1394
very,5585
number,1797
room,1763
yours,705
straight,565
kiddo,29
scrapping,2
want,9259
feelings,236
shake,105
kind,2308
easy,1011
stuff,1056
meet,1313
him,14055
even,3853
gave,1211
write,501
used,2865
janitor,33
building,942
seeing,526
done,2144
life,4138
might,2235
willing,242
stake,84
eats,50
until,2155
could,8029
rest,1002
expecting,165
men,1891
turn,1280
off,5143
who,11593
christopherson,3
his,16308
full,1083
name,3385
real,1904
call,3063
myself,1146
christie,14
as,22300
guy,2803
ever,2779
walked,247
feet,498
goes,955
after,5880
surest,2
idea,1567
wrote,595
himself,933
lying,356
captain,924
coal,100
mostly,277
swell,36
find,3393
working,1324
puts,100
kibosh,1
giving,503
comes,971
bringing,240
inland,35
safe,656
tells,297
people,5565
nerve,71
cousins,41
work,4081
death,1401
dog,813
fall,550
should,4943
slave,107
till,741
died,1273
poor,550
relation,58
treated,139
worse,430
dared,14
treat,232
hired,193
swedes,10
woman,1885
hungry,277
alone,1276
sons,176
came,2275
hated,88
kill,1787
stayed,214
ran,492
overheard,28
went,2135
fault,534
judge,447
girls,1089
days,1655
others,741
seem,570
mind,1779
cooler,43
stand,849
nuts,208
caged,5
nowhere,166
send,696
nice,2283
leave,2223
hate,680
every,2526
son,2037
show,2524
simple,488
nutty,13
notions,14
thinks,418
nurse,175
means,1165
kidding,472
rested,21
clear,752
grub,16
taste,179
tramp,27
brace,20
pack,243
beat,513
later,2519
while,2680
ago,1317
lilla,5
awful,229
trip,386
getting,1871
finding,193
place,3078
new,6281
york,1310
though,1161
tired,343
having,1613
felt,596
able,971
really,6081
happen,912
young,1417
girlies,2
need,5401
lie,451
onboard,19
mean,4890
nix,5
mine,893
tug,32
tow,16
water,1437
sunshine,86
fresh,269
air,1269
healthy,128
already,1411
vacation,148
sounds,663
chance,1053
america,739
second,2424
thirsty,31
fancy,159
sarsaparilla,4
many,2839
