word1	word2	headline	joke
like	doug	-	I like Doug… mostly because he shares snacks.
york	honey	-	York, honey—your traffic is chaos, my patience is snacks.
know	salt	-	I know salt. It preserves things. Mainly our regrets. They're edible now.
tell	dragon	-	Tell me about the dragon. I said, It's big and fire. He asked, That's all? I replied, What more do you need?
really	june	-	Really June again? It's cyclical cruelty. Same month, different suffering.
need	william	-	I need William to stop giving royal-level excuses.
work	dies	-	Motivation arrives right when the work dies and the deadline is already buried. ​
think	guitar	-	I think guitar lessons are easy… until my fingers file a complaint.
said	hundred	-	He said one thing, I overthought a hundred.
know	boots	-	I know boots. They're for walking into worse situations. Fashion for falling.
really	shut	-	Really shut up? Can't. I'm programmed to fail verbally. Silence is abandonment.
look	championship	-	Look, the championship is mine… in my dreams at least.
first	keeps	-	First comes the illusion, then it keeps haunting you. Persistence of regret—now that's commitment.
come	association	-	Whenever you come to the association meeting, the chaos level rises by 20%.
mean	june	-	I didn’t mean to complain about June, but that heat started it.
know	divided	-	I know divided attention is bad… but I multitask poorly.
well	diego	-	How well does Diego do? Saint Diego? Not very saintly when you check the facts.
like	supreme	-	I’d like to feel supreme too, but my bank account keeps voting against it. ​
hear	center	-	Did you hear? The center is closing. I asked, Which center? He replied, The one in the center of town—very central.
give	population	-	Give me the population data… and maybe some sanity with it.
think	november	-	"People think November is calm, but students know it as ""exams plus extra stress season."" ​"
thank	plan	-	Thank you for the plan—too bad we didn’t follow it.
know	picking	-	You know I'm picking my battles carefully; losing to the printer counts. ​
feel	whoa	-	I feel whoa—my schedule just pulled a plot twist.
know	structure	-	I know the structure—chaos at the top, snacks at the base.
going	pleasure	-	Going to work is a duty; leaving work is a pleasure. ​
guys	however	-	Guys, however good your excuses, mine are better.
really	signed	-	I really signed up for chaos; the universe approves.
come	http	-	Come visit my http. I said, That's not a place. He replied, Neither is this conversation.
thank	data	-	Thank data for lying in 1s and 0s. At least the dishonesty is predictable.
happened	white	-	What happened to the white paint? It turned beige. I said, That's not white. He replied, Exactly—something happened to it.
tomorrow	north	-	Tomorrow I’m heading north—mostly because Google Maps panicked.
hear	later	-	I’ll hear about it later—my future self loves surprises.
east	love	-	Love from the east—where the sun rises and my patience sets.
much	founded	-	How much was founded? Everything. And it's all breaking down. Progress.
good	cody	-	Good Cody—he survives my jokes without eye rolls.
maybe	span	-	Maybe this span works. He asked, Does it? I replied, No.
always	jack	-	Always jack up expectations. Then drop them. It's character building through disappointment.
know	shore	-	I know the way to shore. My friend asked, How do you know? I replied, The same way I know I'm lost.
look	trade	-	I tried to look smart during a trade negotiation… but all I traded was my dignity.
know	shed	-	I know the shed is haunted—tools keep moving.
know	promotion	-	I know I deserve a promotion; the universe disagrees.
fine	york	-	It’s fine, New York traffic just wants you to reflect deeply on your life choices. ​
remember	british	-	Remember British? They invented politeness. Masking despair with tea. Revolutionary.
tonight	village	-	Tonight the village—waits. For nothing. Collectively. Very patient disappointment.
right	april	-	Right, April—when the weather has mood swings.
want	levels	-	I want levels—of chocolate, not difficulty.
right	grow	-	I was right—I did grow… sideways.
mean	edward	-	I didn’t mean to scare Edward, but my alarm clock did it for me.
hello	area	-	Hello—is this the right area? He said, For what? I replied, To say goodbye and leave.
know	kicking	-	I know kicking. It's when failure gets violent. Physical disappointment.
please	various	-	"Please select from various options, all of which somehow lead to ""contact support."" ​"
name	week	-	Name a week I wasn’t tired—I’ll wait.
think	cheese	-	People think too much cheese is bad, but quitting is worse. ​
square	please	-	Square please—my Tetris skills are mediocre.
year	honey	-	This year has been wild, honey—like plot twists nobody asked for.
right	among	-	You were right among those who said I couldn't do it. So I did it just to prove you wrong, which means you were right all along.
good	silver	-	A silver medal is good, unless you’re a perfectionist.
sure	christian	-	Are you sure you're Christian? He said, Yes. I replied, Because Christian seems sure you're not.
mean	began	-	I didn’t mean it—but the chaos began anyway.
paul	stop	-	Paul—stop appearing. He won't. Persistence of personality.
like	sortable	-	I like sortable things. Then I realized I can't sort my thoughts. Irony for dinner again.
want	rank	-	I want to rank up in this game. The game replied, You don't want that. Why? Because I've seen you play.
said	southern	-	He said southern charm is useful; I got sarcasm instead.
guess	league	-	I guess I joined the procrastination league.
give	association	-	Give me the association. I said, Of what? He replied, Whatever this is.
much	kidding	-	I joke so much that when I’m serious, people think I’m kidding again. ​
think	august	-	"People think August is summer vacation, but teachers know it as ""syllabus panic month."" ​"
thank	london	-	I thank London. He asked, For what? I replied, For being somewhere I'm not.
left	jesus	-	He left the group chat, and someone typed 'Jesus.' Honestly relatable.
tell	colspan	-	They tell you colspan is easy, then watch your table layout cry. ​
come	blake	-	Come Blake—bring snacks for backup.
wait	north	-	I told him to wait, but he marched north like he was in an adventure novel.
know	graduating	-	I know graduating—we're evolving out of school into professional failure. Advanced failure.
take	birthplace	-	I’ll take a birthplace tour… if it comes with snacks.
hello	made	-	Hello, I made a sandwich—greatest achievement of my day.
right	flesh	-	You’re right, that mannequin looks too much like flesh—creepy.
like	biography	-	I like biographies… especially the ones with scandalous footnotes.
look	control	-	Look, I have control—over nothing important.
something	february	-	Something about February feels unfinished… oh right, it’s missing days.
looks	including	-	Looks like everything, including you, is wrong. He asked, Including me? I said, Especially.
something	emperor	-	Something's an emperor. Tiny, delusional, wearing invisible clothes. Sound familiar?
want	september	-	I want September to be calm, but it keeps starting academic chaos.
know	berlin	-	I know Berlin is cool—every corner looks like an album cover.
every	york	-	Every time someone says New York never sleeps, a tired New Yorker silently proves them wrong. 
right	chicago	-	You're right about Chicago. I asked, About what? He replied, That Chicago is right there, being a city.
thing	command	-	The thing in command? My cookie jar.
know	ireland	-	I know Ireland is beautiful, but my bank account says 'try again.'
girl	service	-	The girl at customer service can solve everything except your Wi‑Fi and your life. ​
hear	built	-	You hear a place was built in a month and suddenly your home renovation excuses feel weak. ​
good	attended	-	It was a good event if you attended for the lecture but stayed because of the snacks. ​
little	systems	-	Little systems control my life; big systems ignore me.
